,pr
2239,842.8723443299532
2240,877.1448663901538
2241,620.1297723222524
2242,825.9083521552384
2243,477.38510300405756
2244,862.9751773551106
2245,630.9786435216665
2246,508.2078059669584
2247,577.5230625411496
2248,1354.7090307343751
2249,1572.3879609257024
2250,877.1739348303527
2251,402.24621263332665
2252,1137.3304056935012
2253,544.818868953739
2254,861.9967163074762
2255,906.2416143715382
2256,1140.7977350056171
2257,437.76484290137887
2258,812.7493898849934
2259,1015.8124065957963
2260,621.9265401363373
2261,617.8488942794542
2262,783.6407077498734
2263,756.7763518542097
2264,581.374908098951
2265,492.3783856909722
2266,1050.7033785805106
2267,929.0004384471104
2268,395.394254475832
2269,1218.7352988403372
2270,874.0684384480119
2271,492.82005499117076
2272,536.0259939450771
2273,546.6009353287518
2274,390.2635251637634
2275,486.575476359576
2276,1057.472252799198
2277,909.0337122324854
2278,878.4030131064355
2279,1328.1142293009907
2280,1053.190692840144
2281,790.5154397478327
2282,651.7964105587453
2283,553.1393692363054
2284,799.1790023166686
2285,735.6787118129432
2286,752.2309348220006
2287,795.2911481028423
2288,520.6237716134638
2289,700.6938690086827
2290,1282.144380826503
2291,761.2301787827164
2292,842.5979782361537
2293,699.4896906428039
2294,555.5876246653497
2295,859.8627923056483
2296,865.1880852878094
2297,516.3237873930484
2298,1087.1769768884449
2299,389.24418347887695
2300,782.7670288737863
2301,703.6769114434719
2302,779.5823140768334
2303,562.2856470756233
2304,305.4627014324069
2305,1106.5410119947046
2306,692.2553039621562
2307,720.9860221948475
2308,545.4161788802594
2309,511.8515230016783
2310,924.5370542630553
2311,673.8927652593702
2312,863.9700466068462
2313,1022.2368298564106
2314,1004.2722282931209
2315,863.4068034589291
2316,599.2767623160034
2317,814.7958715679166
2318,716.3269408978522
2319,1353.673566877842
2320,442.09768124856055
2321,890.8038045745343
2322,492.09660538472235
2323,1114.5660929381847
2324,563.8597081415355
2325,1132.1853131521493
2326,1071.5627994854003
2327,446.38356124050915
2328,391.06253385543823
2329,762.8549285698723
2330,677.1406617946923
2331,798.2915297616273
2332,744.7254641912878
2333,1051.0435007046908
2334,873.4099565539509
2335,639.3090109806508
2336,755.2995141595602
2337,688.1468256935477
2338,1023.6098044551909
2339,849.9510237481445
2340,736.1747323069721
2341,770.8020087797195
2342,678.1048149336129
2343,988.0699348635972
2344,728.9166357368231
2345,1374.9049921520054
2346,746.8350798357278
2347,596.8631010968284
2348,1507.271551899612
2349,504.8738205805421
2350,416.4463820401579
2351,352.00671195052564
2352,879.8868840560317
2353,464.68822080641985
2354,1150.1434824429452
2355,587.5095522031228
2356,919.9145612306893
2357,1029.1938216425478
2358,734.9809674080461
2359,988.4410453028977
2360,715.1872053276747
2361,768.0230212630704
2362,627.4595655966596
2363,1298.0347505304962
2364,554.0738127194345
2365,763.0232614930719
2366,925.1685749273747
2367,666.3005413021892
2368,787.036039866507
2369,556.0941070318222
2370,744.6591323241591
2371,991.8400625232607
2372,548.5633379314095
2373,578.9987491909415
2374,668.2749497238547
2375,695.62677405775
2376,687.5786722172052
2377,947.3875250201672
2378,601.1218765284866
2379,577.4598204530776
2380,641.2826857762411
2381,650.8005863986909
2382,804.5427669771016
2383,894.9723911471665
2384,544.443437224254
2385,968.7851822935085
2386,887.3340776190162
2387,1054.4728115899488
2388,704.9048719927669
2389,501.41442851163447
2390,748.7462656572461
2391,830.3733827546239
2392,931.771160569042
2393,552.2568459855393
2394,892.140594497323
2395,1244.196839723736
2396,1026.744531467557
2397,765.2248790021986
2398,717.4874807707965
2399,789.1118357889354
2400,916.1503679584712
2401,704.0332626085728
2402,1180.4533914662939
2403,1158.7341293692589
2404,609.5554143190384
2405,670.1567905023694
2406,1150.4460947122425
2407,637.8130248282105
2408,892.7071952261031
2409,648.6551500624046
2410,792.244228022173
2411,669.231712538749
2412,557.3738174512982
2413,612.0250410865992
2414,371.74512203782797
2415,859.9664768669754
2416,739.6012337878391
2417,719.3112374749035
2418,987.6846950501204
2419,1061.5327907726169
2420,598.8875633105636
2421,681.3558157067786
2422,892.1683025546372
2423,712.3027604771778
2424,641.3453583139926
2425,877.3150399792939
2426,697.377400752157
2427,742.8299630060792
2428,763.7623504735529
2429,1103.2244048081338
2430,757.5848895125091
2431,662.8112534992397
2432,859.6024210564792
2433,621.9379500020295
2434,906.947853625752
2435,740.2912949211895
2436,776.6408852767199
2437,667.6909695379478
2438,822.601643577218
2439,404.7538320533931
2440,988.1089874077588
2441,863.0813224241138
2442,943.8860604073852
2443,798.7487768288702
2444,924.1909550037235
2445,759.4679498579353
2446,437.81440258026123
2447,914.0498198568821
2448,584.296349203214
2449,447.3896373063326
2450,523.8019064068794
2451,856.947659002617
2452,820.217665610835
2453,408.8915132917464
2454,564.9134831037372
2455,922.4164864048362
2456,592.0522113796324
2457,657.3002343066037
2458,889.1000431962311
2459,1201.9657860975713
2460,545.0809651985765
2461,845.1607673428953
2462,1249.5328271761537
2463,734.5885044895113
2464,917.9510421585292
2465,739.5999633008614
2466,662.5748737715226
2467,488.0270734196529
2468,1120.1283163391054
2469,738.2678988855332
2470,662.1466247364879
2471,544.0776777919382
2472,530.6485009845346
2473,1541.6551211848855
2474,992.3232574481517
2475,707.1670906618237
2476,547.6560128387064
2477,575.3892560955137
2478,679.6764268074185
2479,1015.5133348423988
2480,809.0582140954211
2481,1074.2503465153277
2482,965.4961662366986
2483,680.3903864230961
2484,780.2333836443722
2485,731.1600259272382
2486,652.8233839664608
2487,520.2959501417354
2488,788.1098106969148
2489,600.6238902686164
2490,599.619173957035
2491,586.3148902310058
2492,484.59532717242837
2493,1075.6266516633332
2494,463.69384503923357
2495,1077.6355046778917
2496,507.68726714887134
2497,792.6309954375029
2498,772.1549309324473
2499,623.4646503813565
2500,752.4606553371996
2501,387.5583145301789
2502,620.607730653137
2503,458.11195643618703
2504,844.6100109256804
2505,873.9085129927844
2506,358.6045029340312
2507,777.2340505616739
2508,920.6830002833158
2509,348.4402733389288
2510,487.81045256182955
2511,536.6804751567543
2512,553.9905628189445
2513,930.6272017769516
2514,1081.9615448825061
2515,1041.5218175388873
2516,646.9199081417173
2517,421.2226184550673
2518,698.6487477086523
2519,771.433574706316
2520,943.3390356134623
2521,594.0217704512179
2522,471.36373152025044
2523,458.3592330571264
2524,867.1042575035287
2525,397.20719223842025
2526,469.7387271327898
2527,710.368013754487
2528,1365.8397777937353
2529,738.9585685450584
2530,683.9185469783843
2531,871.1162718012929
2532,1242.8677506744862
2533,395.3761948272586
2534,414.8483483120799
2535,610.5823600664735
2536,407.4645407963544
2537,645.5592348240316
2538,754.8570665996522
2539,521.004923991859
2540,724.1269777994603
2541,1403.1531378161162
2542,771.8318060506135
2543,379.5592543669045
2544,617.7203959319781
2545,741.7050514603034
2546,686.455399543047
2547,620.351443067193
2548,670.978583721444
2549,662.9045755136758
2550,760.0943294819444
2551,638.4715035790578
2552,402.6797938160643
2553,522.6826897356659
2554,1103.1266584061086
2555,460.25691563263535
2556,355.62885836698115
2557,902.6263000443622
2558,712.8370961174369
2559,852.6332776062275
2560,940.6556816305965
2561,781.9317650981247
2562,293.4446088038385
2563,1178.5084513016088
2564,677.7104472275823
2565,582.6532945968211
2566,769.1393178887706
2567,575.3650508355349
2568,435.46042344532907
2569,1213.1327819544863
2570,868.6443530023098
2571,1156.4308603294194
2572,951.5864536631852
2573,582.629375369288
2574,579.7508058138235
2575,585.1974721066654
2576,1114.6207974292338
2577,481.411841372028
2578,1206.6769944503942
2579,989.1349172685295
2580,680.342207243666
2581,547.8226949460804
2582,1041.9864209834486
2583,1385.1675332989544
2584,805.4371872916863
2585,882.5078490190208
2586,763.6041877325624
2587,495.2863763552159
2588,860.8372878748924
2589,874.7309260535985
2590,516.1506415810436
2591,1129.075959417969
2592,1020.8260637708008
2593,971.1437725229189
2594,933.3102150354534
2595,921.5503298677504
