,pr
2615,593.8397171694305
2616,437.8863891465244
2617,447.6100089929787
2618,292.05198154140817
2619,580.7074014956925
2620,451.50268737925217
2621,518.6061629217875
2622,455.3376304871563
2623,667.7441929663473
2624,430.16204444647883
2625,471.5261148114223
2626,540.976600340764
2627,422.06744761319896
2628,545.0083759352083
2629,424.0391495228323
2630,373.082348749449
2631,469.84055270913814
2632,406.3515086780171
2633,287.7614740857098
2634,521.8325797968191
2635,438.8737916266109
2636,409.5994687308121
2637,591.5476161397237
2638,351.12931267585736
2639,471.9761692038446
2640,471.32911461048934
2641,401.18137097560975
2642,528.224359298838
2643,451.5710068207227
2644,847.1905013349897
2645,416.2808429427969
2646,338.15874359606823
2647,471.81534815863415
2648,611.2741562586962
2649,430.7838456523825
2650,578.9268123353395
2651,552.5580652611097
2652,351.64619149909413
2653,551.9454139814115
2654,457.5084591631935
2655,582.6519550180819
2656,419.89513796997926
2657,509.9764083272021
2658,272.08844826463974
2659,337.82427370679216
2660,392.39880387594894
2661,309.14478753819594
2662,403.6063481864403
2663,432.11130571471585
2664,697.6621967656683
2665,476.2086138656741
2666,572.3873227573677
2667,481.6382316621457
2668,457.79063598738503
2669,539.6607618968119
2670,599.4495541628567
2671,538.3388943417231
2672,545.4857119509143
2673,507.6199545204872
2674,598.3142726197912
2675,506.25520838366356
2676,548.6084766605927
2677,480.24236294770617
2678,597.7629508808604
2679,389.77083393465364
2680,374.6734085274056
2681,381.2588426084403
2682,635.0512218427866
2683,366.15136915370385
2684,303.306561741374
2685,415.76510116483405
2686,415.36796087666517
2687,666.8928138334195
2688,645.1075223372754
2689,530.200565279597
2690,383.02279081524375
2691,501.7593263831259
2692,567.9572731918597
2693,586.0777397823767
2694,447.75517894095174
2695,441.2814495728526
2696,505.73088046628527
2697,575.0656179858197
2698,428.52813739245903
2699,614.8285217238936
2800,453.9052856993294
2801,486.7093653258962
2802,591.6385727876332
2803,486.5775001078873
2804,736.7297208256787
2805,484.9996095714232
2806,665.1754961698316
2807,252.42648332960016
2808,457.8395532562382
2809,299.795655705384
2810,485.3791481944427
