,pr
2311,374.5587886311114
2312,654.7608093358576
2313,721.4152707718313
2314,740.4493822250515
2315,1184.9586765747517
2316,709.6543697174639
2317,846.6341387014836
2318,615.5102307675406
2319,387.6012810040306
2320,664.5416630432054
2321,598.6272851005197
2322,621.4436104986817
2323,600.5147207994014
2324,797.4795609712601
2325,315.0575070641935
2326,573.9525044336915
2327,648.3508517732889
2328,380.070993443951
2329,736.7108564358248
2330,1074.834876134996
2331,658.5917896125466
2332,635.0970543455333
2333,637.6354885753244
2334,423.5076970886439
2335,700.5802977830172
2336,307.2606083471328
2337,608.2154202042148
2338,548.437615041621
2339,830.9229447506368
2340,1054.2538207489997
2341,788.1761815398932
2342,914.514937531203
2343,569.1916597075804
2344,745.496167615056
2345,992.5173584371805
2346,664.810351235792
2347,531.9844724144787
2348,1164.4956639502198
2349,536.6935836151242
2350,814.938577869907
2351,1025.5015262402635
2352,581.4678089227527
2353,464.27805279382005
2354,419.89031326957047
2355,504.5816368656233
2356,347.6992707699537
2357,470.3049072995782
2358,545.8969246130437
2359,663.9251304790378
2360,651.4722270425409
2361,840.1967176236212
2362,446.2857060832903
2363,527.7237356174737
2364,1021.5947743970901
2365,593.6491135507863
2366,892.7651661448219
2367,424.1300005931407
2368,780.1197200082242
2369,442.5930944737047
2370,934.7241658251733
2371,679.7005478292704
2372,546.3306202087551
2373,376.3267507776618
2374,798.8687608391047
2375,1169.7635750519112
2376,427.6477646548301
2377,354.7291775699705
2378,515.507499827072
2379,513.3850378682837
2380,754.4772658031434
2381,658.7187037803233
2382,432.55981178954244
2383,568.3341771829873
2384,889.2967568244785
2385,945.4351203516126
2386,774.6871246257797
2387,369.87589057534933
2388,583.6043355055153
2389,620.9667309187398
2390,650.1281637232796
2391,521.497519640252
2392,664.6950298687482
2393,188.0970900412649
2394,717.517696483992
2395,633.4102286025882
2396,695.2919777948409
2397,695.6972851417959
2398,671.9785242341459
2399,514.5809043198865
2400,654.4891916681122
2401,385.97428570501506
2402,662.8024411853403
2403,918.7689717393368
2404,288.4566417429596
2405,653.4010764677123
2406,901.7842683009803
